Email,Password,FirstName,LastName,Country,Address,PostalCode,City
mickeyezrtfedsdddddde@gmail.com,yoloyolo,clem,random,FR,32 Rue Croix,random,Clermont-Ferrand
test182fzefrtzfdddgefdr547abfrfgc@gmail.com,RAPTAYAYA12,clem,juv,FR,32 Rue Croix,63000,Clermont-Ferrand
mickeyezrtfedsdddddde@gmail.com,yoloyolo,clem,random,FR,32 Rue Croix,random,Clermont-Ferrand
test1dffb82fzeffrtzfdddgefdr547abfrfgc@gmail.com,RAPTAYAYA12,clem,juv,FR,32 Rue Croix,63000,Clermont-Ferrand
mickeyefdzrfdtffedsdddddde@gmail.com,yoloyolo,clem,random,FR,32 Rue Croix,random,Clermont-Ferrand
test182fzertzfdddgefdr547abfrfgc@gmail.com,RAPTAYAYA12,clem,juv,FR,32 Rue Croix,63000,Clermont-Ferrand
mickebdyezrtfedsdddddde@gmail.com,yoloyolo,clem,random,FR,32 Rue Croix,random,Clermont-Ferrand
test1bfd82fzertzfdddgefdr547abfrfgc@gmail.com,RAPTAYAYA12,clem,juv,FR,32 Rue Croix,63000,Clermont-Ferrand
mickeyezrtfedsdddddde@gmail.com,yoloyolo,clem,random,FR,32 Rue Croix,random,Clermont-Ferrand
test18dbf2fzertzfdddgefdr547abfrfgc@gmail.com,RAPTAYAYA12,clem,juv,FR,32 Rue Croix,63000,Clermont-Ferrand
mickeybdfezrtfedsdddddde@gmail.com,yoloyolo,clem,random,FR,32 Rue Croix,random,Clermont-Ferrand
test182fzertzfdddgefdr547abfrfgc@gmail.com,RAPTAYAYA12,clem,juv,FR,32 Rue Croix,63000,Clermont-Ferrand
mickeyfdfbezrtfedsdddddde@gmail.com,yoloyolo,clem,random,FR,32 Rue Croix,random,Clermont-Ferrand
test18fb2fzertzfdddgefdr547abfrfgc@gmail.com,RAPTAYAYA12,clem,juv,FR,32 Rue Croix,63000,Clermont-Ferrand

